match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-748051556,11/21/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Papua New Guinea,Thailand,"Terdthai Cricket Ground, Bangkok",Bangkok,Papua New Guinea,bat,Papua New Guinea,unknown,T20,Papua New Guinea,92,9,21.2,Thailand,84,8,20.7,2025,11,Papua New Guinea,Thailand,92,84,completed,1567.72866,1675.217396,-107.4887353,0.2,0.8,0.4,0.9,0
7020114603,11/21/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Namibia,Uganda,"Terdthai Cricket Ground, Bangkok",Bangkok,Uganda,field,Namibia,unknown,T20,Namibia,83,8,20.3,Uganda,71,7,21.3,2025,11,Namibia,Uganda,83,71,completed,1609.212908,1747.068924,-137.8560165,0.2,0.8,0.5,0.8,0.6
5177769419,11/21/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Scotland,Tanzania,"Asian Institute of Technology Ground, Bangkok",Bangkok,Scotland,bat,Scotland,unknown,T20,Scotland,153,5,21.5,Tanzania,148,8,22,2025,11,Scotland,Tanzania,153,148,completed,1677.856807,1645.829831,32.02697558,0.8,0.5,0.6,0.55,0.5
-256289484,11/22/2025,2025,Pakistan T20I Tri-Series,FALSE,,Sri Lanka,Pakistan,Rawalpindi Cricket Stadium,Rawalpindi,Sri Lanka,bat,Pakistan,unknown,T20,Sri Lanka,128,7,20.5,Pakistan,131,3,15.8,2025,11,Sri Lanka,Pakistan,128,131,completed,1641.536121,1707.367819,-65.83169836,0.3,0.6,0.45,0.6,0.416666667
6759588365,11/23/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Tanzania,Netherlands,"Asian Institute of Technology Ground, Bangkok",Bangkok,Netherlands,field,Netherlands,unknown,T20,Tanzania,62,10,20,Netherlands,63,3,12.5,2025,11,Tanzania,Netherlands,62,63,completed,1631.300565,1675.27978,-43.97921527,0.5,0.3,0.45,0.45,0.5
-850295464,11/23/2025,2025,Pakistan T20I Tri-Series,FALSE,,Pakistan,Zimbabwe,Rawalpindi Cricket Stadium,Rawalpindi,Pakistan,bat,Pakistan,unknown,T20,Pakistan,195,5,20.7,Zimbabwe,126,10,19.5,2025,11,Pakistan,Zimbabwe,195,126,completed,1720.371925,1673.534937,46.83698768,0.8,0.4,0.7,0.6,0.625
-160529039,11/23/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Uganda,Papua New Guinea,"Terdthai Cricket Ground, Bangkok",Bangkok,Uganda,bat,Uganda,unknown,T20,Uganda,117,4,21.5,Papua New Guinea,113,7,20.7,2025,11,Uganda,Papua New Guinea,117,113,completed,1725.033856,1588.52659,136.5072658,0.6,0.4,0.8,0.4,0.5
6038271689,11/23/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,United Arab Emirates,Scotland,"Terdthai Cricket Ground, Bangkok",Bangkok,United Arab Emirates,bat,Scotland,unknown,T20,United Arab Emirates,93,8,21.5,Scotland,94,0,15,2025,11,United Arab Emirates,Scotland,93,94,completed,1656.329249,1692.386074,-36.05682469,0.6,1,0.6,0.7,0.2
5475132978,11/23/2025,2025,ICC Women's Emerging Nations Trophy,FALSE,,Thailand,Namibia,"Asian Institute of Technology Ground, Bangkok",Bangkok,Namibia,field,Thailand,unknown,T20,Thailand,115,6,21.3,Namibia,88,8,20.2,2025,11,Thailand,Namibia,115,88,completed,1654.419465,1631.247975,23.17149012,0.6,0.2,0.8,0.5,1
-840669276,11/24/2025,2025,Mini SEA Men's Twenty20 Cricket Competition,FALSE,,Thailand,Malaysia,"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia,field,,no result,T20,Thailand,23,2,6.2,,,,,2025,11,Thailand,Malaysia,23,0,no result,1669.353958,1557.647823,111.7061354,0.6,0.2,0.8,0.5,0.375
